transect_id,region,latitude,longitude,slope,storm_count,storm_energy,depth_of_closure,geomorphology,longshore_direction,true_probability,label
TRX-0026,Outer Banks Transect,35.93041,-75.68872,9.18,8,126.2,6.2,dune,transitional,0.4767,0
TRX-0027,Tyrrhenian Bay (Campania),40.70279,14.29635,7.39,4,49.3,7.27,sandy,divergent,0.4269,0
TRX-0028,Outer Banks Transect,35.7355,-75.61854,7.16,10,264.7,17.33,dune,convergent,0.4068,0
TRX-0029,North Sea Barrier Island,53.62953,7.08108,11.07,9,66.2,5.89,gravel,convergent,0.2927,0
TRX-0030,Ionian Barrier Spit,39.55625,16.60587,6.71,9,382.1,15.5,sandy,transitional,0.7121,1
TRX-0031,North Sea Barrier Island,53.36323,7.15007,2.33,9,84.6,10.24,dune,transitional,0.3598,0
TRX-0032,Ligurian Littoral,44.31368,9.30038,7.62,5,191.9,5.04,sandy,divergent,0.7151,1
TRX-0033,Adriatic Central Coast (Abruzzo),42.46968,14.31302,3.72,4,161.5,11.78,riverbank,divergent,0.2696,0
TRX-0034,Ionian Barrier Spit,39.60938,16.64286,10.29,14,29.9,14.08,sandy,divergent,0.2286,0
TRX-0035,Ionian Barrier Spit,39.43004,16.58621,2.06,28,35.5,10.62,sandy,divergent,0.366,0
TRX-0036,Ionian Barrier Spit,39.41688,16.54801,5.46,9,365.7,17.07,sandy,transitional,0.7389,1
TRX-0037,California Central Coast,37.00386,-121.9469,4.67,1,66.1,17.12,sandy,divergent,0.1113,0
TRX-0038,California Central Coast,36.90371,-121.96407,5.91,17,66.3,16.19,sandy,convergent,0.2959,0
TRX-0039,California Central Coast,36.80051,-121.92233,7.1,24,396.1,14.08,sandy,transitional,0.969,1
TRX-0040,Outer Banks Transect,35.84902,-75.71261,11.33,17,143.7,9.81,gravel,convergent,0.5155,1
TRX-0041,Ligurian Littoral,44.20755,9.24948,5.24,24,381.1,12.5,sandy,transitional,0.9043,1
TRX-0042,California Central Coast,37.03573,-122.018,4.57,15,196.9,7.28,gravel,divergent,0.5423,1
TRX-0043,Ligurian Littoral,44.34766,9.13514,8.57,20,154.1,15.14,dune,transitional,0.6012,1
TRX-0044,Adriatic Central Coast (Abruzzo),42.21386,14.54518,7.95,25,49.1,9.89,dune,convergent,0.6174,1
TRX-0045,California Central Coast,36.94831,-122.1268,8.48,1,377.1,15.69,riverbank,divergent,0.8239,1
TRX-0046,Gold Coast Spit,-28.08493,153.34476,10.73,15,73.3,10.54,gravel,transitional,0.599,1
TRX-0047,Outer Banks Transect,35.93501,-75.48257,7.97,24,376.8,10.05,defence structure,transitional,0.955,1
TRX-0048,Gold Coast Spit,-28.02224,153.34417,8.26,25,331.1,10.8,sandy,transitional,0.9668,1
TRX-0049,North Sea Barrier Island,53.42035,7.15075,11.25,3,75.3,7.51,dune,divergent,0.5328,1
TRX-0050,Gold Coast Spit,-27.97527,153.33205,5.72,25,253.6,13.54,riverbank,divergent,0.8035,1
TRX-0051,California Central Coast,36.94309,-121.91718,4.29,13,361.4,16.89,gravel,divergent,0.4433,0
TRX-0052,Ionian Barrier Spit,39.49647,16.43188,6.48,13,154.5,13.33,gravel,convergent,0.2819,0
TRX-0053,Gold Coast Spit,-27.82414,153.56422,7.05,13,256.8,13.12,sandy,transitional,0.6937,1
TRX-0054,North Sea Barrier Island,53.46373,7.1135,4.62,25,371.9,8.12,defence structure,transitional,0.8067,1
TRX-0055,Tyrrhenian Bay (Campania),40.84109,14.33471,1.41,12,109.7,5.39,defence structure,convergent,0.2586,0
TRX-0056,Adriatic Central Coast (Abruzzo),42.3864,14.32156,6.34,4,245.6,7.33,dune,divergent,0.6254,1
TRX-0057,Ligurian Littoral,44.33177,9.33912,9.2,25,347.7,17.04,sandy,convergent,0.9181,1
TRX-0058,California Central Coast,36.919,-121.9855,1.69,23,352.2,7.66,dune,transitional,0.8817,1
TRX-0059,Tyrrhenian Bay (Campania),40.93887,14.27978,1.28,18,191.4,9.32,gravel,transitional,0.4987,0
TRX-0060,Tyrrhenian Bay (Campania),40.83006,14.21866,11.23,15,302.9,10.16,dune,divergent,0.914,1
TRX-0061,North Sea Barrier Island,53.53477,7.32589,9.86,15,194.2,14.0,sandy,divergent,0.6855,1
TRX-0062,Gold Coast Spit,-28.02684,153.40941,7.94,13,154.6,10.93,sandy,transitional,0.4871,0
TRX-0063,Outer Banks Transect,35.88935,-75.6479,11.1,23,372.0,11.73,gravel,convergent,0.9735,1
TRX-0064,Ionian Barrier Spit,39.55718,16.54377,6.54,26,26.9,8.33,gravel,convergent,0.5239,1
TRX-0065,Outer Banks Transect,35.79198,-75.59072,5.78,24,240.2,9.07,gravel,transitional,0.7484,1
TRX-0066,Outer Banks Transect,35.68587,-75.58924,9.72,6,96.6,14.1,sandy,transitional,0.4406,0
TRX-0067,North Sea Barrier Island,53.64415,7.29979,4.27,12,91.8,4.68,gravel,convergent,0.401,0
TRX-0068,Ligurian Littoral,44.34136,9.27584,2.0,1,249.6,10.6,gravel,convergent,0.1857,0
TRX-0069,Adriatic Central Coast (Abruzzo),42.27574,14.50852,2.13,3,180.3,5.46,dune,convergent,0.3529,0
TRX-0070,North Sea Barrier Island,53.37555,7.12446,7.33,14,262.5,14.78,sandy,transitional,0.7481,1
TRX-0071,Gold Coast Spit,-27.82745,153.35921,7.69,14,142.2,12.57,dune,divergent,0.5869,1
TRX-0072,Ionian Barrier Spit,39.42939,16.37436,3.61,18,50.0,4.53,gravel,transitional,0.3431,0
TRX-0073,North Sea Barrier Island,53.35979,7.13643,4.11,28,201.6,13.44,defence structure,divergent,0.5071,1
TRX-0074,Ionian Barrier Spit,39.47754,16.51337,8.38,9,350.7,5.43,sandy,transitional,0.8794,1
TRX-0075,North Sea Barrier Island,53.48175,7.19061,4.36,13,397.1,11.01,gravel,convergent,0.7234,1
TRX-0076,Outer Banks Transect,35.83111,-75.74224,3.48,22,354.4,11.98,defence structure,divergent,0.738,1
TRX-0077,North Sea Barrier Island,53.52287,7.27893,2.85,17,280.6,16.41,sandy,transitional,0.4442,0
TRX-0078,Tyrrhenian Bay (Campania),40.841,14.2325,4.56,4,363.1,8.79,dune,convergent,0.5162,1
TRX-0079,California Central Coast,37.04407,-122.03497,6.12,11,121.0,6.01,dune,divergent,0.5297,1
TRX-0080,Gold Coast Spit,-27.97603,153.32627,5.03,25,219.4,10.25,sandy,convergent,0.6979,1
TRX-0081,Ligurian Littoral,44.4283,9.18143,8.97,4,31.5,12.69,riverbank,divergent,0.2283,0
TRX-0082,California Central Coast,36.82796,-121.90232,11.48,15,398.8,12.92,sandy,divergent,0.985,1
TRX-0083,North Sea Barrier Island,53.50266,7.13203,10.57,16,117.5,11.67,gravel,divergent,0.364,0
TRX-0084,Tyrrhenian Bay (Campania),40.78287,14.347,5.65,26,223.1,15.17,sandy,convergent,0.6525,1
TRX-0085,Gold Coast Spit,-27.84042,153.40396,6.47,11,240.8,11.56,gravel,transitional,0.5653,1
TRX-0086,California Central Coast,36.87007,-121.96734,1.31,24,209.2,16.37,gravel,divergent,0.5582,1
TRX-0087,Ligurian Littoral,44.2986,9.06111,6.68,19,152.8,5.8,riverbank,convergent,0.6418,1
TRX-0088,Ligurian Littoral,44.27299,9.24643,2.61,16,332.6,7.95,dune,transitional,0.7255,1
TRX-0089,Tyrrhenian Bay (Campania),40.95553,14.3657,10.85,13,401.7,12.65,riverbank,transitional,0.9586,1
TRX-0090,Ionian Barrier Spit,39.53935,16.62628,12.47,24,56.2,17.22,dune,divergent,0.6009,1
TRX-0091,Tyrrhenian Bay (Campania),40.8331,14.3182,11.37,2,149.7,5.23,sandy,transitional,0.5454,1
TRX-0092,Ligurian Littoral,44.201,9.07369,10.99,20,293.3,10.97,dune,convergent,0.9527,1
TRX-0093,North Sea Barrier Island,53.48787,7.25005,11.32,15,380.5,13.31,sandy,transitional,0.966,1
TRX-0094,California Central Coast,37.00709,-122.06295,4.33,13,361.3,5.89,gravel,transitional,0.7936,1
TRX-0095,North Sea Barrier Island,53.64781,7.13857,12.24,22,178.3,4.61,riverbank,divergent,0.9416,1
TRX-0096,Gold Coast Spit,-27.85015,153.54088,9.88,8,262.8,9.08,dune,transitional,0.7857,1
TRX-0097,Ligurian Littoral,44.33847,9.32102,8.36,10,335.4,4.93,sandy,convergent,0.9146,1
TRX-0098,California Central Coast,36.85269,-122.16035,7.11,12,232.3,16.38,riverbank,convergent,0.4364,0
TRX-0099,Gold Coast Spit,-27.80978,153.35854,10.98,26,66.1,17.02,sandy,divergent,0.7014,1
TRX-0100,California Central Coast,37.09018,-121.95862,5.08,26,177.8,7.94,sandy,transitional,0.6399,1
TRX-0101,North Sea Barrier Island,53.52537,7.29673,11.8,4,289.9,10.63,dune,divergent,0.8602,1
TRX-0102,Tyrrhenian Bay (Campania),40.89062,14.24928,9.0,21,183.3,6.32,defence structure,transitional,0.7812,1
TRX-0103,Gold Coast Spit,-28.06516,153.34044,7.09,13,201.5,13.22,dune,divergent,0.4646,0
TRX-0104,Ligurian Littoral,44.41562,9.24648,10.55,20,183.2,16.87,sandy,transitional,0.7118,1
TRX-0105,Gold Coast Spit,-27.96659,153.34083,5.04,22,166.9,16.22,dune,convergent,0.434,0
TRX-0106,Gold Coast Spit,-28.0725,153.33363,8.28,1,40.2,8.84,defence structure,divergent,0.3361,0
TRX-0107,Ionian Barrier Spit,39.37058,16.57955,3.22,7,345.2,7.53,dune,divergent,0.6178,1
TRX-0108,Ligurian Littoral,44.44626,9.21206,10.14,4,284.4,4.84,sandy,divergent,0.8533,1
TRX-0109,Ionian Barrier Spit,39.52666,16.35473,3.9,5,316.7,11.34,dune,transitional,0.5258,1
TRX-0110,Tyrrhenian Bay (Campania),40.8356,14.17646,8.0,24,333.3,15.77,gravel,transitional,0.8203,1
TRX-0111,Adriatic Central Coast (Abruzzo),42.21825,14.39369,5.5,22,63.2,13.76,gravel,divergent,0.3436,0
TRX-0112,Ligurian Littoral,44.2325,9.23992,7.22,11,172.4,12.27,sandy,transitional,0.5068,1
TRX-0113,California Central Coast,36.82975,-121.98947,10.78,21,371.1,11.67,riverbank,transitional,0.9831,1
TRX-0114,Gold Coast Spit,-27.98038,153.48888,4.46,11,286.0,9.37,sandy,divergent,0.5846,1
TRX-0115,Tyrrhenian Bay (Campania),40.72737,14.13561,5.85,24,315.5,15.05,gravel,transitional,0.7026,1
TRX-0116,Tyrrhenian Bay (Campania),40.82324,14.37208,11.81,14,367.2,13.87,defence structure,transitional,0.9464,1
TRX-0117,Outer Banks Transect,35.68108,-75.59778,2.61,16,109.7,5.91,riverbank,transitional,0.4364,0
TRX-0118,California Central Coast,37.05355,-121.90764,10.38,20,290.0,11.74,dune,transitional,0.8897,1
TRX-0119,North Sea Barrier Island,53.35869,7.13198,9.72,11,160.4,6.86,sandy,transitional,0.7401,1
TRX-0120,Adriatic Central Coast (Abruzzo),42.22753,14.40914,5.2,15,156.4,9.31,dune,divergent,0.6156,1
TRX-0121,Tyrrhenian Bay (Campania),40.965,14.15667,9.63,2,289.6,8.04,dune,transitional,0.7524,1
TRX-0122,Tyrrhenian Bay (Campania),40.80355,14.14327,8.74,19,214.7,13.17,sandy,transitional,0.7462,1
TRX-0123,Adriatic Central Coast (Abruzzo),42.20231,14.34043,3.27,5,325.7,8.26,sandy,transitional,0.5048,1
TRX-0124,Ionian Barrier Spit,39.50008,16.60001,10.23,3,178.8,14.15,gravel,transitional,0.3344,0
TRX-0125,Tyrrhenian Bay (Campania),40.95863,14.28273,7.51,23,276.1,8.26,gravel,divergent,0.9073,1
TRX-0126,Gold Coast Spit,-27.85039,153.54593,1.83,28,62.3,10.16,gravel,convergent,0.5254,1
TRX-0127,North Sea Barrier Island,53.57374,7.11647,9.92,3,224.2,5.98,gravel,divergent,0.5638,1
TRX-0128,Ligurian Littoral,44.22088,9.09393,3.11,20,81.1,14.37,sandy,divergent,0.4601,0
TRX-0129,Gold Coast Spit,-27.96081,153.43912,7.58,22,389.7,11.84,dune,transitional,0.9628,1
TRX-0130,Ligurian Littoral,44.28193,9.19068,8.19,26,129.9,5.23,gravel,transitional,0.6525,1
TRX-0131,Gold Coast Spit,-28.08872,153.38062,4.16,21,365.7,15.62,dune,transitional,0.6697,1
TRX-0132,Adriatic Central Coast (Abruzzo),42.33492,14.49294,8.43,11,262.0,11.02,defence structure,transitional,0.6645,1
TRX-0133,Outer Banks Transect,35.94472,-75.7247,8.36,2,119.1,10.19,gravel,transitional,0.2814,0
TRX-0134,North Sea Barrier Island,53.46622,7.28234,8.74,2,335.7,12.91,sandy,convergent,0.7897,1
TRX-0135,California Central Coast,36.88524,-121.98288,8.48,20,369.3,8.83,dune,convergent,0.9202,1
TRX-0136,California Central Coast,36.83869,-121.98735,1.79,18,170.7,14.79,riverbank,transitional,0.5372,1
TRX-0137,Tyrrhenian Bay (Campania),40.89381,14.23702,5.03,12,143.5,16.87,sandy,divergent,0.4559,0
TRX-0138,Ligurian Littoral,44.17315,9.30333,1.98,25,235.9,14.1,gravel,transitional,0.8309,1
TRX-0139,Ligurian Littoral,44.32917,9.09628,2.92,23,328.4,15.02,sandy,transitional,0.6064,1
TRX-0140,Ionian Barrier Spit,39.64088,16.53318,9.6,26,199.6,11.44,sandy,divergent,0.88,1
TRX-0141,Gold Coast Spit,-27.82881,153.3282,8.74,19,413.8,10.5,sandy,transitional,0.9312,1
TRX-0142,Ionian Barrier Spit,39.59038,16.39152,3.73,21,212.2,9.33,defence structure,divergent,0.5228,1
TRX-0143,Tyrrhenian Bay (Campania),40.78552,14.33894,3.99,17,78.9,10.19,defence structure,convergent,0.1799,0
TRX-0144,Adriatic Central Coast (Abruzzo),42.32447,14.36894,5.18,13,417.8,9.37,sandy,divergent,0.8721,1
TRX-0145,Outer Banks Transect,35.88741,-75.70872,4.16,27,209.0,15.3,dune,transitional,0.5145,1
TRX-0146,Adriatic Central Coast (Abruzzo),42.27678,14.50049,7.22,24,263.6,10.0,dune,convergent,0.7646,1
TRX-0147,Tyrrhenian Bay (Campania),40.71432,14.23595,10.09,15,45.1,15.38,gravel,transitional,0.2371,0
TRX-0148,Ligurian Littoral,44.23738,9.05047,4.93,19,186.6,13.14,sandy,divergent,0.488,0
TRX-0149,Tyrrhenian Bay (Campania),40.98602,14.27322,10.0,17,241.7,9.58,gravel,transitional,0.8376,1
TRX-0150,Adriatic Central Coast (Abruzzo),42.30713,14.27027,3.62,22,271.3,14.53,dune,transitional,0.6502,1
TRX-0151,Adriatic Central Coast (Abruzzo),42.30569,14.35156,8.32,27,331.7,10.54,dune,transitional,0.9562,1
TRX-0152,Gold Coast Spit,-28.0889,153.33048,10.06,2,146.2,8.53,gravel,divergent,0.3603,0
TRX-0153,Gold Coast Spit,-28.02401,153.49599,3.04,12,364.9,5.12,dune,convergent,0.7581,1
TRX-0154,California Central Coast,37.02299,-121.93161,5.32,6,218.5,10.97,defence structure,transitional,0.2387,0
TRX-0155,Tyrrhenian Bay (Campania),40.91812,14.13368,7.85,27,92.2,8.32,sandy,transitional,0.6829,1
TRX-0156,California Central Coast,36.84999,-122.06683,6.03,24,368.0,9.08,defence structure,convergent,0.8942,1
TRX-0157,Adriatic Central Coast (Abruzzo),42.22251,14.44125,5.05,26,320.0,6.58,sandy,divergent,0.8877,1
TRX-0158,Ligurian Littoral,44.17017,9.28355,5.09,13,399.8,4.92,sandy,transitional,0.8215,1
TRX-0159,Outer Banks Transect,35.7616,-75.52107,7.51,17,166.8,8.59,sandy,divergent,0.7186,1
TRX-0160,California Central Coast,37.07406,-122.16467,9.87,23,198.5,17.45,sandy,divergent,0.7474,1
TRX-0161,Gold Coast Spit,-28.03995,153.31072,1.67,6,379.5,10.29,sandy,transitional,0.5971,1
TRX-0162,Outer Banks Transect,35.86286,-75.585,4.2,10,360.5,13.75,defence structure,transitional,0.4223,0
TRX-0163,Outer Banks Transect,35.80263,-75.71359,3.15,5,114.7,10.92,sandy,transitional,0.0903,0
TRX-0164,Ligurian Littoral,44.33358,9.07586,4.42,23,307.5,11.33,dune,divergent,0.8393,1
TRX-0165,Tyrrhenian Bay (Campania),40.7376,14.20511,1.67,15,292.0,8.98,riverbank,divergent,0.5977,1
TRX-0166,Ligurian Littoral,44.27979,9.32321,1.45,4,227.2,8.45,sandy,divergent,0.3204,0
TRX-0167,Ionian Barrier Spit,39.45381,16.63227,11.27,28,51.5,7.05,defence structure,convergent,0.5564,1
TRX-0168,Tyrrhenian Bay (Campania),40.85077,14.16059,11.82,5,88.5,12.62,defence structure,transitional,0.2045,0
TRX-0169,Adriatic Central Coast (Abruzzo),42.44757,14.25851,1.33,21,328.4,7.94,sandy,transitional,0.7386,1
TRX-0170,North Sea Barrier Island,53.54257,7.14063,3.67,26,294.0,8.37,sandy,convergent,0.7809,1
TRX-0171,Gold Coast Spit,-27.97531,153.40933,4.78,5,145.0,13.84,dune,divergent,0.3154,0
TRX-0172,Outer Banks Transect,35.80449,-75.71814,3.63,4,127.0,7.72,sandy,convergent,0.2292,0
TRX-0173,California Central Coast,37.05925,-122.07456,12.06,6,345.4,16.64,dune,convergent,0.9506,1
TRX-0174,Gold Coast Spit,-27.95037,153.36256,1.07,13,222.2,17.07,sandy,transitional,0.5272,1
TRX-0175,Adriatic Central Coast (Abruzzo),42.28441,14.42926,10.66,22,208.2,11.48,riverbank,transitional,0.8751,1
TRX-0176,California Central Coast,36.90978,-122.07983,7.47,7,165.0,8.25,gravel,transitional,0.3041,0
TRX-0177,North Sea Barrier Island,53.59759,7.23697,7.95,5,410.0,9.62,riverbank,transitional,0.9385,1
TRX-0178,Ionian Barrier Spit,39.53074,16.47042,1.27,2,74.8,8.83,gravel,transitional,0.0831,0
TRX-0179,Ligurian Littoral,44.24839,9.23392,2.7,20,315.7,8.39,sandy,divergent,0.6691,1
TRX-0180,North Sea Barrier Island,53.49247,7.05499,4.68,4,412.0,12.09,riverbank,divergent,0.6403,1
TRX-0181,Adriatic Central Coast (Abruzzo),42.37907,14.32966,8.47,25,251.4,7.46,sandy,transitional,0.8415,1
TRX-0182,California Central Coast,36.84433,-121.99578,1.17,23,64.0,4.75,sandy,convergent,0.4018,0
TRX-0183,Ionian Barrier Spit,39.47311,16.58249,11.57,28,359.4,13.96,dune,transitional,0.9592,1
TRX-0184,Gold Coast Spit,-27.94236,153.36413,2.83,18,156.9,9.11,dune,divergent,0.4239,0
TRX-0185,North Sea Barrier Island,53.53302,7.10768,3.68,18,139.4,16.74,defence structure,divergent,0.2394,0
TRX-0186,Gold Coast Spit,-28.00489,153.37464,11.72,26,308.7,8.24,dune,transitional,0.9671,1
TRX-0187,California Central Coast,37.04551,-121.91362,10.21,10,36.8,16.92,sandy,divergent,0.2286,0
TRX-0188,Ionian Barrier Spit,39.41062,16.51157,11.72,23,128.6,5.92,dune,convergent,0.7124,1
TRX-0189,Adriatic Central Coast (Abruzzo),42.40095,14.40931,8.26,2,60.1,8.79,gravel,transitional,0.3112,0
TRX-0190,Ligurian Littoral,44.27207,9.33051,11.08,16,280.2,14.33,sandy,convergent,0.9275,1
TRX-0191,Adriatic Central Coast (Abruzzo),42.47238,14.27684,7.52,18,315.5,15.55,sandy,divergent,0.7482,1
TRX-0192,Adriatic Central Coast (Abruzzo),42.49915,14.3691,6.6,24,404.9,16.54,riverbank,convergent,0.9237,1
TRX-0193,Tyrrhenian Bay (Campania),40.97854,14.21051,6.12,21,237.3,10.92,defence structure,divergent,0.616,1
TRX-0194,Tyrrhenian Bay (Campania),40.79921,14.32934,8.38,23,94.5,14.08,riverbank,transitional,0.5568,1
TRX-0195,Ionian Barrier Spit,39.40265,16.60684,11.3,27,191.1,8.76,gravel,convergent,0.867,1
TRX-0196,Ionian Barrier Spit,39.35205,16.46507,6.03,9,401.6,8.43,dune,convergent,0.8249,1
TRX-0197,Outer Banks Transect,35.85783,-75.73136,2.18,10,83.9,13.42,defence structure,divergent,0.1464,0
TRX-0198,North Sea Barrier Island,53.46026,7.11625,12.0,16,81.3,14.22,dune,transitional,0.4073,0
TRX-0199,Gold Coast Spit,-27.87279,153.5106,10.46,25,119.0,14.31,riverbank,convergent,0.5067,1
TRX-0200,Tyrrhenian Bay (Campania),40.97517,14.14366,10.5,17,100.9,11.48,sandy,divergent,0.6548,1
TRX-0201,Gold Coast Spit,-28.06513,153.33162,7.62,3,379.6,10.29,sandy,convergent,0.7326,1
TRX-0202,Gold Coast Spit,-27.89817,153.36245,1.05,9,346.6,14.2,dune,convergent,0.489,0
TRX-0203,Outer Banks Transect,35.86012,-75.58765,1.5,3,414.5,10.64,sandy,convergent,0.5817,1
TRX-0204,California Central Coast,36.91234,-121.9326,6.05,13,170.3,13.38,dune,transitional,0.5452,1
TRX-0205,Outer Banks Transect,35.68559,-75.45215,5.4,5,311.1,7.39,sandy,convergent,0.5641,1
TRX-0206,California Central Coast,36.95958,-121.95299,3.7,12,82.0,6.95,riverbank,divergent,0.4909,0
TRX-0207,Adriatic Central Coast (Abruzzo),42.44284,14.37577,9.76,1,116.3,5.37,dune,transitional,0.3568,0
TRX-0208,Ionian Barrier Spit,39.57216,16.47068,3.54,7,321.8,14.59,sandy,divergent,0.3438,0
TRX-0209,Ionian Barrier Spit,39.59474,16.56946,4.53,20,329.0,15.14,sandy,divergent,0.8092,1
TRX-0210,California Central Coast,36.89015,-122.18171,11.9,24,384.6,12.64,gravel,transitional,0.9855,1
TRX-0211,Outer Banks Transect,35.93248,-75.5486,9.99,11,298.5,9.81,sandy,convergent,0.8296,1
TRX-0212,Ionian Barrier Spit,39.44022,16.56227,10.23,2,245.0,17.08,gravel,convergent,0.3967,0
TRX-0213,Ionian Barrier Spit,39.4265,16.44908,1.73,15,358.9,5.7,dune,convergent,0.7167,1
TRX-0214,Adriatic Central Coast (Abruzzo),42.46209,14.30645,9.71,24,288.6,7.32,sandy,divergent,0.973,1
TRX-0215,North Sea Barrier Island,53.63711,7.0546,11.76,24,66.9,17.49,gravel,convergent,0.3975,0
TRX-0216,Ionian Barrier Spit,39.51562,16.58265,5.25,18,279.5,8.51,sandy,divergent,0.759,1
TRX-0217,Gold Coast Spit,-28.07042,153.5644,6.29,27,148.1,7.14,sandy,convergent,0.7885,1
TRX-0218,Adriatic Central Coast (Abruzzo),42.27823,14.53043,7.58,14,138.1,7.05,sandy,transitional,0.4697,0
TRX-0219,Ionian Barrier Spit,39.49979,16.54638,8.81,9,325.3,10.85,dune,divergent,0.8075,1
TRX-0220,Outer Banks Transect,35.70078,-75.53391,6.51,18,416.1,16.94,gravel,divergent,0.8747,1
TRX-0221,Tyrrhenian Bay (Campania),40.98356,14.31046,9.74,14,75.0,12.7,sandy,convergent,0.4131,0
TRX-0222,Adriatic Central Coast (Abruzzo),42.38535,14.45003,8.01,16,283.7,4.7,gravel,transitional,0.8919,1
TRX-0223,Adriatic Central Coast (Abruzzo),42.35883,14.33242,12.24,1,220.9,13.57,gravel,divergent,0.634,1
TRX-0224,Ligurian Littoral,44.22229,9.23593,3.75,12,126.9,9.66,sandy,transitional,0.5292,1
TRX-0225,Ionian Barrier Spit,39.64707,16.41776,8.8,28,52.2,17.39,dune,convergent,0.4263,0
TRX-0226,Gold Coast Spit,-28.08317,153.27284,2.81,16,358.1,12.88,sandy,divergent,0.7441,1
TRX-0227,Tyrrhenian Bay (Campania),40.96844,14.38575,3.49,28,296.9,11.87,sandy,divergent,0.8015,1
TRX-0228,Adriatic Central Coast (Abruzzo),42.25381,14.50513,0.98,7,254.8,14.28,dune,transitional,0.2547,0
TRX-0229,Tyrrhenian Bay (Campania),40.78978,14.27919,7.43,28,175.7,16.15,sandy,divergent,0.8309,1
TRX-0230,Tyrrhenian Bay (Campania),40.85024,14.4023,1.43,14,112.9,5.49,dune,transitional,0.5926,1
TRX-0231,California Central Coast,37.09068,-122.10209,8.22,26,417.0,10.88,sandy,divergent,0.9691,1
TRX-0232,California Central Coast,36.82571,-122.01442,10.14,23,49.4,7.98,sandy,divergent,0.7349,1
TRX-0233,Ligurian Littoral,44.3719,9.145,2.05,1,397.2,10.28,dune,convergent,0.5583,1
TRX-0234,California Central Coast,36.83099,-122.17311,7.28,20,259.2,8.72,gravel,convergent,0.7825,1
TRX-0235,California Central Coast,37.03375,-121.98255,7.35,8,248.8,6.7,gravel,convergent,0.5482,1
TRX-0236,Tyrrhenian Bay (Campania),40.75016,14.19279,4.31,26,50.8,7.77,sandy,transitional,0.6305,1
TRX-0237,Ionian Barrier Spit,39.48736,16.39065,0.88,13,152.9,12.56,riverbank,transitional,0.2116,0
TRX-0238,Ligurian Littoral,44.24013,9.23096,8.93,16,145.7,17.04,defence structure,convergent,0.441,0
TRX-0239,Gold Coast Spit,-27.80967,153.50459,4.61,9,346.6,9.61,sandy,transitional,0.5773,1
